"id","name","student_id","grade","date_of_birth","gender","contact","email","falcuty","major","class"
"1","Tran Ngoc Tu","520H0592","10","08-Sep-2002","Male","0339541554","tranngoctu2089@gmail.com","Science","Engineering","20H50205"
"6","Tran Ngoc Tu","520H0591","10","09-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09098"
"7","Tran Ngoc Tu","520H0590","10","09-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09098"
"9","Tran Ngoc Tu","520H0593","10","11-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09100"
"10","Tran Ngoc Tu","520H0594","10","12-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09101"
"11","Tran Ngoc Tu","520H0595","10","13-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09102"
"12","Tran Ngoc Tu","520H0596","10","14-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09103"
"13","Tran Ngoc Tu","520H0597","10","15-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09104"
"14","Tran Ngoc Tu","520H0598","10","16-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09105"
"15","Tran Ngoc Tu","520H0599","10","17-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09106"
"16","Tran Ngoc Tu","520H0600","10","18-Aug-2002","Maie","0","ranngoctu2089@gmail.com","IT","ITAI","20h09107"
